,id,review,label
694,695,drama to ajeeb he kedia .... startng main acha tha,negative
708,709,wesy doctor aafia nai umeed lagi bi too kiss se pakistani qoom se jo apny lidrs ki mohhabbt mai andi hoi peri ,negative
1119,1120,gadha mtlb tm,negative
261,262,farhan ap or bhi aisa hi dramas ma kam kerya,positive
2214,2215, to lihaza imran khan ko chahiya k ek press conferrence kary our us ma sari parties k samnay ek demand rakhy k pti saaf shafaf election chah thy ha lehaza saaf shafaf election k lya zaruri ha k 2013 k election ki tahqiqat ki jahy our jin logo nay b 2013 k election ma dhandli ki thy sub ko punishment di jahy our us k bad election ki tarf jaya jahy ...is purpuse k lya,positive
2782,2783,bc oper comment dekh.. real brave... yaar ki bakwas ay... bc border pe match hotay hain... sala brave ka.,negative
3963,3964,runs banne lage,positive
553,554,un ke har sher mein jahan e mani poshidah hota hai,positive
5521,5522,acha laga but end main story boring hogaye thi...,negative
4565,4566,wasim akram pehle bowler hain jinho ne yeh hadaf hasil kiya hai,positive
318,319,"mukhtasir dauraniye ki cricket mein shahid afridi ki aalmi maqboliyat ka aik sabot guzishta dino us waqt saamne aaya, jab bangladesh premier league mein sab se barhi boli inhi ke liye di gai",positive
1502,1503,"hoodie ki quality achi ahi, pehnay mein bhi garam hai aur dekhnay mein pasand ayi mujhay",positive
4761,4762, 1956 ke aaiyn ki tayyari mein mashraqi o maghrabi pakistan mein masawat ka usool manwane mein hussain shaheed suhrawardy ne nehayat aeham kirdar adaa kiya,positive
5658,5659,yaar seriously masla hojayega...,negative
4427,4428,aik he action mein fast speed se wicket ke dono taraf ball karne ka fun,positive
2754,2755,ye to garbar thi.,negative
760,761,aap k saath ghalat/bura hona aap ko maut ki yaad dilaata hai.,negative
4584,4585,"chaudhry aslam khan ne liyari task force ke sarbarah ki hesiyat se liyari mein jaraim pesha anasir ke khilaf mutadid karwaiyan bhi kiein, jis par liyari gang war ke mujodah sarbarah uzair jan baloch ne bhi qatal karne ki dhamkiyan de thein",positive
1574,1575,ghalib hama jahat takhliqi fankar the,positive
1185,1186,boht acha moble hy,positive
1572,1573,karachi ki baat hi nahe horahi. lahore mei abhi paani ki waja sey problems dekho. nawaz sharif ne punjab mei bhi kya kardiya? 18 ghante light nahe hoti wahan. paani ka problem ab bhi hai. lougo ke saath khela hai sirf. agar aapko yaad ho toh sindh kpk aur balochistan bhi pakistan ke hissay mei aatay hain khaali punjab nahe,negative
5651,5652,ager allah pak ka wali iss dour ma dekhna ho to peer raza saqib co dakh lo ma sha allah,positive
2043,2044,sab se barhe baat ye hai ke silees zuban ka istemaal kiya aur gird-o-pesh ke waqeyat ko apni ghazlon ka mauzoo banaya,positive
3410,3411,bajawar lal musjid hafia sedeqi imal kasi abdul sallam zaif 4000 pakhtoon gar masmar karna taliban bichna musharaf farviz musharaf he,negative
4639,4640,"main chahti hon ke aise bachen taleem hasil karen taa ke jab wo 16 ã»17 baras ke hon to apni purani zindagi ki taraf na laut jae, na he drugs mein panah dhondein.",negative
1782,1783, logon ki be inteha dad hasil karne ke bawajud adab ke thekedaron ke zere atab rehene wala saghar siddiqui 19 july 1974 ko khamoshi ke sath shehar e khamoshan ahata e sheikhan nazd surriya azeem waqaf hospital bahawalpur road qabrustan meyani sahab lahore mein dafan ho gaya,negative
1354,1355,wisdon ne likha ke pakistan is dore mein haqiqi qowat ke tor par ubhra hai,positive
1174,1175,bhai time pass k liye acha drama hai rozay k bad ,positive
4242,4243,ye drama nh isnan k lie hadyat hai jo such hai,positive
1516,1517,maza aa jata hy drama daikh k ,positive
2136,2137,"baba e urdu mutale, mushahide aue mukalme ke adi the",positive
6057,6058,islam mubarak,positive
175,176,kaash hum b parhay likhay hotaykabhi likhtay gulbadankabhi likhtay gulfeezan,negative
6325,6326,korangi me shani qatal ,negative
5353,5354,ha kyuki sab hasne lag gye the nd apn toh gana gaye b ni the ,positive
6084,6085,yee sach h ... jitny 2 number kam doctors karty hn  astagfirullah,negative
1030,1031,himmat khabi nahi harni chayai or manu tu app ko pata hai ka jan hai hamari,positive
3756,3757,inayat hussain bhatti ne itehad benul muslimeen ke leye dora shuru kiya aur pore punjab mein ja kar tamam makatib e fikr ke ulma ko aman bhai chare par qaim masher ki tashkil par razi kiya,positive
3352,3353, supreme court mein bhi aik nayi tawanai peda ho gai aur janab justice iftikhar muhammad chaudhry ko un ke mansab se hatane ki koshishs un ke sathi judges ne hi nakaam bana di,positive
3054,3055," tbhi tag kia
tum natural masiny hou bhai ......
kbhi kbhi tou aisi shkl bnaty hou k ap sy ziada maskeen dunya my koi nh hoga",negative
572,573,not only sahir sary morning show band kare jain,negative
5572,5573,marzi wale baat ha sabki. mere to sath sbhe youn krte hain ,negative
5740,5741,buht allaw ha drama or bhi bhi,positive
179,180,wazair e dakhla 15 din kisi ki hirast mein rahe to woh bhe her juram qabol karen ge khursheed shah,negative
4723,4724,"jab reham khan se pocha gaya ke siyasat se qataa nazar imran ko aur kya pasand hai to in ke kehna tha, ke jab main is ghar mein aai to mera tassur kuch is tarah ka tha ke ooo hooo, imran ko to daal dalliya bhi thek tarah se nahi milta.",positive
3222,3223,m anwar ki alalat k bais zimedaria wapis leligia m anwar mqm london r c k aham rukun the ,negative
3473,3474,tahum hairat angez taur par yeh show nazreen mein wo pazeerai hasil na kar saka,negative
2611,2612,confused kardia bhae,negative
4654,4655,please dua kern.... mery or mery husband k liye...,positive
4421,4422,allah maghfirat farmaye aameen,positive
6304,6305,ap ki app working ni kr rhi ha,negative
490,491,video choro bs bachi check kro b.c :d,negative
276,277,na koi tmhy mot dy skta hy amp na koi tmhra rizq km kr skta hy ,positive
5970,5971,khas tor par jab larkiyon ko ibtedai satah par mushkilat ka samna karna parta hai to wo khelon se dor ho jati hain,negative
1903,1904,yhi wo patwaari hy joh samjty nhi... k bacho ko roads nhi chahiye hospitals chahiye schools chahiye.. ,negative
2535,2536,ab mola ali a.s k naam pr yh kya naya tamasha khara ho gya hy?,positive
2665,2666,lajewab .......,negative
5348,5349,inho ne lebanon ki jung ke dauran israel fauj ko 10 lac dollar ki imdaad di thi,negative
3010,3011,nae apka hai ghor xe dekhiye apny guthnon ko vahi hga dhundiye dhundiye ð oh wait ! demgh hga to mily ga na ð,negative
1364,1365,zindagi ko badalne me waqt nahi lagta ,positive
1095,1096,is accident ne sonia gandhi ko bharat ki pur tashaddud politics se mutanfir kar diya aur inho ne congress ki janib se rajiv gandhi ki jaan nasheen banne ke liye dale jane wale dabao ki saliha saal tak mazahmat ki. ,negative
6253,6254,khan abdul ghaffar khan ne national congress ki hamnawai mein do qaumi nazere musalmanon ke judagana tashkhus aur qiyam pakistan ko kabhi tasleem nahein kiya,negative
6216,6217,hazrat g pardes walon k liye dua,positive
3522,3523,is tarah helen keller ki zindagi mein taleem ka aghaz howa aur baad mein wo mukhtalif marahil te kar ke aik shandar musanifa bani.,positive
458,459,log kitne behas hai sub dhek dekh j jarahe hain,negative
5477,5478,"#admin so why dont you go and stop that.well, first thing are you 100% sure k ye sara pesa corruption ka he?q k kisi pay jhuti tohmat laga bhi guna he.or let me make you sure that im sporting any party k mein kisi k favouritism mein bolun.baat sirf ye hewe people just know k facebook k pages keasy banane hein.or phir her cheezon pay tabseray keasy kernay hein.practically kucch bhi nhi kerna.",negative
4508,4509,1 haftay mein dusri bar aatay ki qeemat mein 10 rupay izafa 20 kilo aatay ka thaila retail satah par 745 rupay ka ho giya ,negative
896,897,rashid minhas ki salahiyaton ko jila bakhshne mein in ke taya abdur rasheed ka bohat barha hath hai,positive
2139,2140,khas tor par âhum dil de chuke sanamâ ke bad ashwariya ray ke sath un ki dosti ka media ne khob charcha kiya lekin 2002 mein un ke taluqat talkhi par khatam howae aur ashwariya ray ne salman khan par hirasan karne ka ilzam bhi lagaya,negative
3178,3179,saeed anwar ka aalmi record taweel arsey ke bad india ke sachin tendulkar ne torha,negative
345,346,banda kahay sir pe rakh kar naacho sarak ko ley kar jo nawaz sharif ne banai hai,negative
388,389,pump sirf hot horaha hai lakin moter nhi chal rahi,negative
5330,5331," hafee jullandhury  mein pak, bharat jung 1965 mein pakistan ke liye kaye milli naghmay likhe",positive
4780,4781,behtree n sir boht pasand ayi,positive
3030,3031,mein ne new drivers install kr ke check kiye aur maloom hua ke bohot achey hin. fully recommended.,positive
916,917,achi chwal thii,negative
2765,2766,"mainay abhee tak isay pani may rakhnay ka tajarba nahee kia lakin mai iski quality say bilkul mutmain hun, meri bike ko yay achi tarhan puri cover kar dayta hai baghair kisi issue k aur kahee say phatnay k asraaat bhee nazar nahee aray ,meray khayal may qeemat bhee iski sahee hai aur quality bhee ,mitti bhee agar par jay ispay to wo araam say jhar jati hai ,cheez kaafi kaaam kee hai yay meray khayal may sahee qeemat may bhee.
",positive
5553,5554,jab main ne law ki taleem hasil ki to mery samne amli zindagi mein apni salahiyaton ke istemal ka jazba aur lagan karwatein lene laga.,positive
5274,5275,usi dauran inho ne university of southern california mein film direction ka mazmoon parhana shuru kar diya,positive
3547,3548,"kia baat hai asees bhai ,,, bht khoob",positive
4178,4179,allah pak badla la ga zurar wo chup hai bs,negative
1637,1638,6 december 1971 raat 11 baje dushman ke tank ka aik gola un ke sene ke daein janib alaga aur wo wahein par shaheed ho gaye,negative
4185,4186,aap k liy aik kia sary hi jumly hin.allah in k ilm o amal min ezafa farmay.,positive
5628,5629,.... mn to hn... ap thehri wahi jahil... ,negative
3838,3839,app k dil ki bhi. :),positive
1897,1898,ach sory muh seda,negative
3651,3652,agar cha ye filmein box office par ziyadah acha tassur na chor sakein lekin salman ka shumar batadrij saf e awal ke adakaron mein hone laga,positive
5397,5398,hahaha... ye b thek he... sb kha len ge but saas to saas hoti he na... use kon smjaey ga... ,negative
3727,3728,lahore qalandars love you,positive
2729,2730,meera ko jab captain naveed ki family ne lift na karai to un ke ghar ke nazdik train station ke waiting room mein ja kar beth gai,negative
1064,1065, main chahon gi ke is record ko mazid behtar banao,positive
3609,3610,super star aamir khan ko thappar marne wale shakhs ko aik lakh rupey inam diya jaye ga,negative
3321,3322,ya hum pas thy us k woh zindagi k kuch din yaa zindagi thi kuch din ,negative
3350,3351,allah raham farma ameen,positive
2810,2811,dj cuteee ha,positive
2647,2648,tu kamyab aurat hai  hm pata ni kamyab hoty b hain ya nai ðð,negative
91,92,mashalla allha pak slamat rakhy ameen ameen,positive
5422,5423,haha arsal ne kese pakra tha ajiya dar gai thi,negative
232,233,agr ap bhi syasat karny lagy ho to log mayous hojaengy,negative
2678,2679,qaum pak army k sath hy,positive
2421,2422,n league twadi aunty khul gai jay,negative
880,881,bushra ne sab se pehle iqbal ansari ke aik drama mein acting ke johar dikhaey,positive
1304,1305," lara ne college ke tournament school boy league mein 12616 runs fee innings ki oasat se 745 runs banae  jab wo 15 saal ke the to inhe pehli baar 19 naujawan players mein shamil kiya gaya aur under 19 ki numaiydegi karne ka mauqa mila brian lara trinidad and tobago mein football aur table tennis bhi khela karte the, magar in ka khayal tha ke cricket in ki kamiyabi ka raasta hai jo inho ne sach kar dikhaya",positive
2652,2653,psl ko he aag lga do,positive
2020,2021, walid ki phansi ke bad sikander ali shah ko in ke chote bhai aur khandan ke deegar afraad ke sath kuch arsey bandar road ( ma jinnah road ) ke aik bungalow mein nazar band rakha gaya aur wahan se aligarh muntaqil kar diya gaya,negative
5459,5460,dunya me aag lagao gay to apna ghar bhi lapait me aaye ga america europe apni policies per nazr e sani karen,negative
1909,1910,bht khoob,positive
5802,5803,nuqsanat ka muawza ada karengy ,positive
1616,1617,allha zindagi kary,positive
6149,6150,zyda tu kuch ni bs kuch he hrha,negative
1790,1791,"  javed miandad,  asif iqbal ki hamrahi inning ka agaz kiya aur apne phele hi match mein 163 runs ka bara score bana dala",positive
3939,3940,hiba,negative
182,183,indian bollywood ko dekhny per pabandi llagaye jaye. masla hollywood aur bollywood se hi shuru howa hy .,negative
2448,2449,"sab se pehle to khuwateen ko apne is khayal se picha churana chahiye, ke wo kisi bhi lihaaz se kamtar hain.",positive
3175,3176,khuda ka khof karo kuch pia walun allah ko yad kerny k bjaye nach ganay lagay hoty hain aj kal enho ny,negative
4643,4644,subai hakumat ne chand raat per hawai firing karne per pabandi aid kr di ,positive
6096,6097,allah pak hr dil ko yahi jzba ata karey ameen,positive
5543,5544,pak colony me police ka opperation jari dakhali or kharji raste band ,negative
4007,4008, 1944 mein bombay mein hone wale all india tournament mein shekhst khane ke bad abdul bari har bar hashim khan ka shikar bante rahe abdul barika zor toot chuka tha hashim khan ne abdul bari ki har martaba shikasht sey do char ker ke apni mokammal bartari ka saboot deya,positive
1648,1649,mere bhi kuch usool hain lekin is tarah ke nahi ke shor na karo ya mauseeqi na suno.,positive
4132,4133,kharab gharelo halaat ke dabao ne johnny depp ko shaded taur par mutassir kiya  jis ke natije mein sirf 12 baras ki umer mein inhe cigarette noshi ki lutt lag chuki thi  jis ke bad wo manshiyat noshi aur self harm ka shikar bhi rahe,negative
3060,3061, ab behtar hai kuch aur na he poochun warna wo tabrlay na to likhay ja saktay hain na sunaaey jo jaanu kharaab mood main farmata hai waysay aaj to rabia nai bhi report card waali nai bhi hari jhandi dikhaai thii par lagta hai ke daadi maan nai jaanu ko aaj kutt ke jaadu ki japhi nai daali,negative
5255,5256,kuch arsaa qabal the expendables ki aksbandi ke dauran actor steve austin ke sath aik scene ki aksbandi karwate hue stallone ki garden ki haddi buri tarah mutassir hui aur ab in ki garden mein metal ki plate laga di gai hai,negative
2286,2287,buht acha design hy or sound b piyara hy,positive
1375,1376, allah aap ko sehat zindagi dy taky aap choron ki ghulami mai guzarien ... ,negative
2304,2305,dheet hun me bht ð koi faida nae ð,negative
3767,3768,ap mahaan ho ap india chaly jao ð¤£,positive
2958,2959,bohat munasib.,positive
1271,1272,heheh ulta choor qotwal ko danty ..,negative
5191,5192,yaad aaaya  tmhari chikhain class mai ,negative
3314,3315,bangal se aanay wala barish ka system kal sunday pakistan me dakhil hoga karachi me 120mm barish ka imkan ,positive
2849,2850,beshaq haq baat hai,positive
5648,5649,me tanha aur tanha aur tahna hota ja raha hoon ,negative
70,71,is me ihtijaj ki kia baat he. ye islami mulk he yahan par baghair kisi ihtijaji k aise programe ki ijazat kis ne di he.,negative
1933,1934,1964 ke bad jab mohibbullah khan ne british open title jeeta pakistan ko yeh ejaz 1965 mein hasil hua iss martaba dono pakistani khelari qamar zaman aur gogi allauddin pahonche they lahza title to pakistan ana hi tha qamar ne gogi ko shikast de ker pahli martaba open jeetne ka ejaz hasil keya,positive
6249,6250,kese milega masoom bachon ko insaf yahan ka sadat katputhli firon ka ha mara $ america ne ha,positive
1419,1420,main ne imran ko bata diya tha ke main koi samjhota karna nahi chahti.,positive
340,341,shahbaz sharif nay dhai saal kay doran aqraba perwari aur sifarish kay khilaf bhi numaya karkardagi dekhaya,positive
2386,2387,aapka dimagh apkea guthno mey hai? ð,negative
2164,2165,habib arain ya dress kitna pyre h,positive
5007,5008,dg rangers ki janib se insaf ki yaqeen dihani k baad mqm ne aaj monday ki hartal ki call wapis le li,positive
5190,5191,mera beta ziad khan ko farmabardar hony ki dua kardi jeye,positive
5984,5985,is arse mein england ke aik dore mein hum aik sires 4-0 se hare to dosri mein 2-o se,positive
3972,3973,hm kisi kam k hi nai hain ð­ð,negative
2672,2673,salam pegam raza apka kya nam hai me nh janta bs allah pak apko aese darme. krne ki tofaki de me jb bi darma dekhta ho mujh apni mout. yad ati or bht rona ata hai kya hoga humra,negative
4662,4663,apne kaam mein is tarah magan hoi ke mujhe khud bhi ye ehsas bad meinhowa ke koi undekhi lagan hai jo mujhe yun din raat masrof rakhe howae hai.,positive
1914,1915,kitna tang kiya tha usy,negative
900,901,sharaf al haram ,negative
5188,5189,ulad k liye dua kry allah humy dainhumari sayhat zindagi aur akhrat ki kamiyabi ki dua kry,positive
3791,3792,abhi ye nafrat ni? kon jealous ha? ,negative
3391,3392,kise malom tha ke ye bandhan aik ese almiye par anjam pazir ho ga jo logon ko aindah na jane kitne barson tak afsurdah karta rahe ga.,negative
3944,3945,wo bolta to aaaa krta mae bolti to b shor machata,negative
1752,1753,fia ka chapa facebook par khatoon ke naam se jaali id bana kar doosron ko bewaqoof banane wala muhammad sadiq griftar,positive
2848,2849,allah humy ghar ata kry ameen,positive
6161,6162,"mujhe jewelry ki koi zarorat nahi, kyun ke imran ke liye hamare baagh se behtareen rose muntakhib kar ke laate hain.",positive
1937,1938,8 baras tak film beeno aur jaraiyd mein barhti hui maqboliyat ke sath is ne apne role ko ba khobi ada karte hue glamour ki chakachond kar dene wali duniya ke mutabiq khud ko munasib andaaz mein dhal liya hai,positive
2947,2948,esko pani daboo kar 3 minat rakha jaye khud pata chal jaye ga k mrta ha k nhi,negative
4047,4048,a rha mjy b bhook lg rhi 5 mint m a gya bs fresh ho kr,negative
1670,1671,baba e mlolvi abdul haq ne urdu zaban ki esi khidmat injam di jis ki missal dosri zaban ki tarikh mein nahi milti,positive
1519,1520,socrate ny zehar ka payala peya tha...ap wo pee ly...coco cola nhi mil rhi tu.. kessa idea ha...?,negative
5049,5050,aaj b apni beti bisma shaeze ke zikar par saeed anwar ki aankhon se aansoun ka dariya baha nikalta hai,negative
4021,4022,maza aa gya sun k ,positive
3112,3113,lkin us ko juda nh hona chahiyae aur shafay ko us ki maa ki asliat pata chl jayae,negative
2777,2778,it's wrong post taqdeer likhney wala allah hy orallah ek maa se 70 gunah ziyada piyaar kerta hy apney bandon se dukh or takleef azmaishyn hyn duniya ki,negative
2659,2660,yaar ye peechay hooting ma ker rahi hoon ,negative
5681,5682,kafi acha helmet hi,positive
17,18,kisi larki kay sat selfie lana tum hay maut ki yad dilata hay ,negative
3553,3554, 1960 ki dahai ke agaz mein azam khan aur mohibbullah khan ki kamyabyon ka silsila jari raha lakin almi cricket se unke rukhset hone ke bad gair mulki khailariyon ne british open per qabza jama leya,negative
3297,3298,sap ko bhi eidmubarak,positive
2636,2637,sweater kay fabric ki quality itni pasand nahi ayi thora itchy feel hota hai laiken waisay pehnay mein garam hai.,positive
2986,2987,randi hai behen chod ki bachi,negative
5005,5006,peechay awaam ka haal dehko bilawa free,negative
366,367,"sir hm naliq log ghro main aram kr rahy hain. ap baqi logo k comments parh kr phir ghusa karin. ap batain bajat pesh hony sy pehly up-gradation k case ko bilcul highlight nhi kia gia, go. govt. ny phir bhi nhi krna tha. ap logo ny salaries barwany k liy zore lagaya hakoomat ny nhi barai hamin ap logo sy gila nhi hai. laken tamam maslo ko km is km highlight to karin.",negative
3021,3022,ap khud larro pls pls pls pls pls aap na larre election na 161 se tu burra impact prre ga pls try to understand pls,negative
3105,3106,anti chaa gye ha,positive
2762,2763,is pagal ko kon farg kary ga,negative
679,680,yar ab bus karu. nawaz pakistan kay masail hal nehain kar sakta. nawaz chor or baigrat hain .,negative
287,288, malala yousafzai ne pakistan ke foji jawanon se appeal ki ke agar humare foji bhai humein tahafoz farahum karein to hum larkiyan apni darsgahon ko ja sakti hain,positive
497,498,na 154 me zimni intikhab se qabal pml n ko dhachka n league k sabiq ticket holders mian aslam or hassan mehmood shah pti me shamil ,positive
1244,1245,jis na kha ha ci kha ha,positive
3810,3811,bohat maza aya acha timing bhi achi deta hai material bhi acha hai,positive
1429,1430,sanu ki???divorce hui ya bhaaag gai ksi sath..donkeys jab hum koi personal bat krain to bhai unki life ..abay hmein kia unki life say picture ha ya nhi ha honeymoon kahan mnaya..mahira baji sota lga rhi thi tm log kh rhy uski life ha..tmhy kia takeelf hui pta krany ki donkeys ,negative
573,574,", ð aunty fari ko shukria kehna ð",positive
1443,1444,sahir ab tou bach,negative
4755,4756,allah pak inko hamesha salamat rakheyameeeeeeeeeeen,positive
5961,5962,"tarif k ye muhtaj naiye jan hain hamari,",positive
4106,4107,yahudiat k zer e saya palne wali media khamoshtext msg's khamoshq is k khilaf ahtjaj me koi message nahi phelaya ja raha?????,negative
2685,2686,dars ko share karain aj ka dars bht khas ul khass hai ummat ka faida karain,positive
3793,3794,gali na do dost or apni khurak b na btao,negative
3863,3864,yd h aik mohtrma hua krti ti shareeef tareeen bibi ððð,positive
4349,4350,ese kisi ki besti nai krni chahye bhale wo crupt ho us ko usko saza suna di gai hai lekin is trha posts kr kr ke kisi ka dil na dukhaen,negative
2820,2821,waise kinza tu ajeeb he hai ... dialogue tk bolna nhi aata is parchi ko...,negative
3490,3491,in logon ka koi deen iman nahi,negative
5596,5597, hashin khan ne uss jaga ko daryaft kar liya tha jo unki aur unkey mulk ki waqar aur shohrat ki waja bani,positive
6277,6278,traffic signals per ruknay sai honaiy wali aik minute ki dair humaisha ki dair saiy behtar hai,positive
5497,5498,karachi k badalte hue halaat or nit nayi faida mand offers se bakhabar rahiye bilkul free ,positive
3759,3760,".allah pak is henzeer insan ko aur isky himayat karne walo ko dunya aur akherat may zalil oriswa ,nest.o.nabood kardy",negative
1253,1254,main ne past mien jo kaam kiya wo logon ko aaj tak yaad hai,positive
3143,3144,molvi sahib ne apni rkar guzari se anjuman ko hindustan ki bawaqar anjuman bana deya,positive
5503,5504,sirf ye channel hi nahi baqi channels p shadiyou k bahany yehi kuch hota hy .pemra hy kaha....,negative
5507,5508,dars ko sadqa jariya ki neyat se share karain ummat ka nafa hoga jahan tak pegham jaye ga,positive
4523,4524,"chye pesa haram ka ho ikhlaq aur seerat ki baatein books mein achi lagti hai,,,",negative
256,257, hukumat ne sugar mil malikan ko qematein kam karne par majbor nahi kiya balke neb ne tehqiqat karana chahi to sadar perviz musharaf ke humum par ise bhi rok deya gaya kyun ke is mein ba asar hukumati ehalkar mulavis the aur wazirati kursiyon par barjaman the,negative
5500,5501, awww haye bichari :p,negative
2918,2919,world ki karwai 2 soldier halak ,negative
1689,1690,un ka aik aur tarika ye tha ke muhale ke gharib gharanon ki das bara saal ki teen char bachyon ko apne han le atein aur un ki kafeel ban jatein.,positive
3762,3763,police fir dy ky aram farma rahi hai pesy mag rahi hai or hukmran so rahy hai ,negative
6185,6186,apko bhi eid mubarak dua ma yaad rakhen.,positive
5010,5011,allah apko aur taraqi dy. boht khoob,positive
1900,1901,good,positive
1159,1160,fashion shows mien cat walk to nahi lekin tv commercials aur photo shoot ke projects mien kaam karongi,positive
1542,1543,jahalat dekho,negative
2395,2396,wow yarbilkul on point hai,positive
2234,2235,dhobi ki chutti...... thanks dawlance,positive
5934,5935,achy h but jaisy itne bary size k dikhye h waisy nhi h,negative
5949,5950,allah aap ki umer draz kary . hamary sar pe hamaisha qaim rakhien,positive
640,641,hm knjr samjty han,negative
4409,4410,1951 aur 1963 ke darmeyan hone wale 13 british open final mein rasai hasil karne wale 26 khelaryon mein sey 22 ka taluq khan family sey tha hashim 8 martabah british open ke final mein pahonche jabke unke bhai azam khan bhi sat martabah final kheley,positive
5357,5358,hahahahahhamera khoon khaul gaya dekh kai,negative
3263,3264, utility stores par chini ki qemat asal qemat se derah guna ziyadah thi is baat ko hukumat danista nazar andaz karti rahi,negative
3176,3177,k electric ka boria bistar gol kar denge rabta committee tarikh day k kab dharna den ,negative
5963,5964,wo kalsoom ko bistar marg sy election win krwa k london bhaij dya,negative
5489,5490,"bohat achi ghari hai. iski tou price bhee bohata chee hai. meray saray dostoun mein mujhse pooocha iskay baray mein. meine tou abhee iskay uper se sticker bhee nai utara. iskay leather ki quality se mein khush hoon, bohat mazboot ghari hai. aur bhari bhee itnee nai hai :)
",positive
3159,3160,koi sir nahi uthata saee'n..jab ishq faisle farma de.,positive
4798,4799,allah jisay chahta hai qurb k liye chunta hai aur apni taraf ruju karnay walon ko hidayat deta hai ,positive
6088,6089, sir abdullah haroon ki koshishon aur muslim league ki markazi majlis e aamla ke tawwun se 7 se 10 october 1938 ko aik azeem ul shaan conference karachi ke eid gaah meydan mein munaqid hui,positive
2909,2910,"ghor nae kia? he said dont be tharki, tag tharki ",negative
4465,4466,mily h kb apð«,negative
2603,2604,phr b begerat aur dheet awam inhi ko vote degi...,negative
881,882,303 makanat tabah nd 72 ko nuqsaan poncha ,negative
1778,1779,milna tumhen chahyey tha 'the real blackmailer' awarddd,negative
2542,2543,aiza g ap apni pics upload mt kiya karo na.....#kuch_kuch_hota_hai ,negative
2260,2261, sindh kay bay zameen hariyon mein zameen taqseem ki gaien,positive
5776,5777, allama ne wahin taleem paai aur apni siyasi zindagi ka aaghaz khilafat committee mein shamoliyat se kiya aur isi silsile mein jail bhi gaey,negative
3086,3087,younus khan ki achanak retirement per heran howa ahmed shahzad 16 rukni team ka hissa mumkin hai jald mauqa dia jaye waqar younus,negative
263,264,hahah pitwaye ga kia,negative
772,773,khusoosan urdu geet nigari mein azmat ullah khan ke bad dosra naam hafeez jullandhuri ka ata hai,positive
